"English","Verb","Noun","Adj","Prepositions","Adv","Conjunctions","Determiners","QuestionStatement","Answer","PhrasesNum","Plural","AddSub","MultiplyDivide","ExpoLogarithm","Constant","Oscillate","ConDiverge","Fractal","Not","Intersection","GreaterLess","EqualOpposite","Function","System","OriginDestination","ForwardBack","LateralMiddle","UpDown","Time","Velocity","Energy","Sound","Mass","Length","Quantity","LightDark","Red","Green","Blue","Dense","Vescosity","SmoothRough","Poly","ConvexConcave","OpenClose","POV","CauseEffect","Vague","Information","Truth","Life","Water","Air","Fire","Earth","WoodMetal","Plant","Human","Bird","Fish","Reptile","Insect","Mammal","Happy","BirthDeath","Help","Advesary","MaleFem","Hand","Feet","Body","Head","Food","Disease","Necessity","GiveTake","Tool","Building","OrthodoxTaboo","ZealotModerate","WinLose","DomSub","PayFree","Totals"
"need",1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,1,0,0,0,0,0.1,0,0.9,0,0,-0.1,0,0,0,0,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0,0,0,1,1,1,1,1,1,1,-1,0,0.5,0.3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,22.8
"enjoy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,-0.1,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,1,1,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,10,0,1,0,0,0,0,0,0.5,0.8,0,0,0,0,0,0,0,1,0,0.1,17.3
"hate",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,-0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,-0.5,1,1,0,0,0,0.5,0,1,0,0,0,0,0,0,-0.5,0,-0.1,-6.7
"prevent",1,0,0,0,0,0,0,0,0,0,1,-0.1,-0.5,-0.1,0.6,0.1,0.9,0,1,0,0,0.5,1,0.1,0,0.1,0.1,0.1,0,0.1,1,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9,5,1,0.5,0.5,0,0,0,0,0.6,1,0,0,0,0,0,-0.5,0.5,0,19
"damage",1,0,0,0,0,0,0,0,0,0,0,-1,-1,0.1,0,0.1,-1,0,0.5,0,-1,0,-1,0,-0.8,0,0.1,-0.1,0.1,1,3,0.1,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0.1,0,1,0.1,0,0,-5,0.1,0.1,5,0.1,0,1,1,1,1,1,1,1,-0.9,-8,-6,1,0.7,0.9,0.1,0,0,0.1,5,0,0,0,-5,0,0,-1,0.5,0,-2.9
"heal",1,0,0,0,0,0,0,0,0,0,0,2,0,-0.1,0,0.1,0.9,0.1,-1,0,0,0.8,1,0,0,0,0,0.1,2,0.2,1,0,0.2,0,1,0,0,0.2,0.5,0,0,0,0,0,0,0,1,0.1,0,0,9,1,0.1,0.1,0.1,0,1,1,1,1,1,1,1,7,1,9,0,-0.8,1,0.1,0,0,3,0.1,1,0,0,1,0,0,1,0.5,0,50.8
"marry",1,0,0,0,0,0,0,0,0,0,1,0,0.5,-0.1,0,0,9,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-5,0,1,0,0,0,5,0.9,0,0,0,0,0,2,0,0,0,0,0,9,2,4,-0.9,0.1,1,0,1,0,0.9,0.3,0,0,0,0,0,0,1,0,0,38.7
"devorce",1,0,0,0,0,0,0,0,0,0,0,0,-1,0.1,0,0,-9,0,0,0,0,-1,1,0,0,0,0,-0.1,0,0,-0.1,0,0,0,-0.4,0,0,0,0,0,0,0,0,0,2,0,1,0,0.5,0,-0.1,0,0,0.1,0,0,0,2,0,0,0,0,0,-5,0,-1,-2,0.9,-1,-1,0,0,-0.5,0.7,0,0,0,0,0,0,-1,0,0,-12.9
"meet",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,-1,0.1,0.1,0,0,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,2,2,2,2,2,2,0.1,0.9,0.9,0.9,-0.1,0.9,0.9,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,32.8
"beautify",1,0,0,0,0,0,0,0,0,0,0,1,0.5,1,-5,0.3,0,7,0,0,4,1,1,0,0,0,0,0,0,0,0.2,0,0,0.1,0.1,1,1,1,1,0,0,2,0,0,0,0,0,0,1,8,1,1,1,1,1,0,1,1,1,1,1,0.5,1,7,1,1,1,-1,1,1,0,1,0.7,-1,-2,0,0,0,0,0,1,0,0,48.4
"win",1,0,0,0,0,0,0,0,0,0,0,1,0.3,0.4,-1,0.1,1,0,0,0,1,-0.1,-0.1,1,0,1,0,1,0.1,0,0.7,0,0,0.1,0.3,0,0,0,0,0,0,0.3,0,1,0,0,0,0,0.7,0,1,0,0,0.2,0,0,2,1,0.8,0.5,0.5,0.5,0.8,9,1,1,0.6,0.5,1,1,0,0,1,0.1,0,0,0,0,0,0,10,0,0,32.3
"lose",1,0,0,0,0,0,0,0,0,0,0,-1,-0.3,-0.1,-0.8,0.1,-5,0,0,0,-1,-0.1,1,1,0,-1,0,-1,0.1,0,-0.5,0,0,0.1,-0.3,-1,0,0,0,0,0,-0.3,0,-1,0.1,0,0,0,0.2,0,1,0.7,0.1,2,0.5,0,0.3,1,1,1,1,1,1,-9,-1,-0.8,1,0.5,1,1,0,0,0.1,1,0,0,0,0,0,0,-10,0,0,-5.4
"think",1,0,0,0,0,0,0,0.6,0.7,0,0,0,-0.1,0,-0.1,0.5,1,1,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0.7,0,0,0.5,1,5,7,1,0,0,0,0,0,1,5,0.3,0.1,0.1,0.1,1,0.5,0,1,0,0.1,0,0,0,5,0,0,0.3,0,0,0,0,0,0.5,0,0,37.5
"know",1,0,0,0,0,0,0,0,0.8,0,0,1,0.1,0,-0.2,0,1,0,0,0,0,1,1,0,0,0.3,-0.7,1,0,0,0.3,0,0,0,0.1,2,0,0,0,0.1,0,0,0,0,0,0,0,-10,1,8,1,0,0,0,0,0,2,3,2,1,1,1,1,0.9,0.1,4,0,-0.1,0,0,0,1,0,0,0.7,0,0,0,0,0,0.6,0,0,26.4
"write",1,0,0,0,0,0,0,0,3,0,0,1,0.1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.1,0,0,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0.1,-0.4,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,31.7
"say",1,0,0,0,0,0,0,0,7,0,0,1,0.1,0,0,0,0,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0.3,3,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.9,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,22.3
"listen",1,0,0,0,0,0,0,0.5,0,0,0,0,-0.1,0,-0.1,0,0,0,0,0,0,0.5,1,-0.2,0,0,0,0,0,0,0.1,-3,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0.8
"understand",1,0,0,0,0,0,0,1,1,0,0,0.5,-0.1,0,-0.2,0.5,1,3,0,0.2,1,0.5,1,-0.3,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,-2,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.4,0,0,0.1,0,0,0,1,0,0,0.2,0,0,0.1,0,0,2,0,0,21.3
"learn",1,0,0,0,0,0,0,0.5,0.6,0,0,1,-0.1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,-2,8,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.5,0,0,0,0,0,0,1,0.1,-0.1,0.8,0,0,0.2,0,0,2,0,0,16.2
"teach",1,0,0,0,0,0,0,2,2,0,0,2,0.5,0,0,0.5,0,0,0,0,-1,0.5,1,3,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-4,9,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,5,0.6,0,0,0,0,1,0.1,0,0,0,0,0.5,0,0,0,1,0,26.7
"look",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1,0,0.9,0.9,0.9,0,0,0,-0.1,0,0.1,0.2,3,1,1,1,0,0,0,0,0,0,0,0,-0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,3,0,0,0,-0.7,0,0,0,0,0.1,0.1,-0.1,16.7
"help",1,0,0,0,0,0,0,-0.5,1,0,0,1,0.6,0,-0.3,0,1,0.5,0,0,0,0,1,-0.3,0,0,-0.1,0,0,0,1,0.1,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.2,10,0,-0.2,1,0,0,0,0,0,1,1,0,0.6,0,0,0,-1,-1,21.4
"research",1,0,0,0,0,0,0,1,0.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10.1
"discover",1,0,0,0,0,0,0,0.5,2,0,0,2,0.1,0,-0.1,0.1,0,0,0,0,1,-1,0,1,0,0.5,0.3,0,1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.8,0,0,0,-0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,1,0,0.2,0,0,0,1,0.2,0,0.4,0,0,0,0,0,2,0,0,14.7
"count",1,0,0,0,0,0,0,0,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.3,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,-4,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,-0.1,0.9,16.1
"ask",1,0,0,0,0,0,0,10,0.5,0,0,1,0,0,0,0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0.1,2,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,38
"answer",1,0,0,0,0,0,0,1,10,0,0,1,0.1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.1,2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,-2,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.1,0.9,0,-0.2,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.6,0,30.2
"read",1,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.2,-0.6,1,0,0,0,0,0.7,0,17.1
"translate",1,0,0,0,0,0,0,0,0.3,0,0,1,0.1,0,-1,0.3,0,0,0,0.1,1,0,1,1,0,-0.1,0,0,0,0,0.5,2,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.1,2,0,0,0,0,0,1,0,0,-0.7,1,1,0,0,0,0.1,-0.1,0,26.1
"explain",1,0,0,0,0,0,0,0,3,0,0,2,0.1,0,0,0,0,0,0,0.1,1,0,1,-0.1,0,0,0,0,0,0,0.5,2,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7,-0.7,0,45.2
"watch",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.3,0.3,0.3,0,0,0.1,0,0,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0.5,-0.1,0,0,0,0,0,0.8,0,25.6
"add",1,0,0,0,0,0,0,0,0,0,1,10,0.5,0.5,-5,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,1,0,0.3,0,0,1,0,0,21.9
"subtract",1,0,0,0,0,0,0,0,0,0,0,-10,-0.5,0,-5,0,0,0,0,0,-2,0,1,3,0,-0.1,-0.1,-0.1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-14.9
"divide",1,0,0,0,0,0,0,0,0,0,0,-3,-10,-1,-4,0,0,0,0,0,-1,0,1,3,0,0,0,0,0,0,0,0,0,0.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-13.5
"multiply",1,0,0,0,0,0,0,0,0,0,1,3,10,1,-4,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,1,0,0,26.7
"accelerate",1,0,0,0,0,0,0,0,0,0,0,1,6,10,-5,0,0,0,-1,0,1,-0.5,0.4,-0.1,0.2,0,0,0,0,8,3,0,0,0.1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,24.5
"decelerate",1,0,0,0,0,0,0,0,0,0,0,0,-6,-10,-4,0,0,0,1,0,-1,0.5,-1,-0.1,-0.2,0,0,0,0,-0.7,-1,0,0,0.1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-21
"measure",1,0,0,0,0,0,0,0.5,2,0,0,0.1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.1,0.1,-0.2,0,0,0,0,0,0,1,0,30.6
"repeat",1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,0,10,-1,0,0,0,1,0,0,1,0,0,1,0,0.4,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,32.1
"remember",1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,2,0.2,0,1,0,1,0,0,0,1,0,0,28
"play",1,0,0,0,0,0,0,0,0,0,0,1,0.1,0.5,0,0,1,0,0,0,0.5,0,1,-1,0.2,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,1,0.1,0.1,0.1,1,0,0,0,0.7,0,0,0,0,0,0.5,0.5,0.5,28.3
"forget",1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-0.1,0.1,-1,0,1,0.1,-1,0,-1,0,0,0,0,0,1,0,-0.5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,-1,0,0,-10.9
"cook",1,0,0,0,0,0,0,0,0,0,0,1,-0.6,-0.1,0,0,0.5,0,0,0,0,0,1,-0.5,0.2,0,0,0,1,0,1,0,1,0,0.5,0,0,0,0,0,0.6,0,0,-1,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0.2,1,0,-0.9,1,0,0,0,8,-3,0.5,0,0.8,0,0,0,0.9,-0.1,0,21.2
"bake",1,0,0,0,0,0,0,0,0,0,0,1,0.6,-0.1,0,0,0.5,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0.6,0,0,0,0,0,0,0,0,0.3,-1,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0.5,1,0,-0.6,1,0,0,0,8,-2,-1,0,0.9,0,0,0,0.9,0,0,23.7
"clean",1,0,0,0,0,0,0,0,0,0,0,-1,0,-0.1,-0.2,3,-2,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0.2,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,1,1,0,0,0,-5,-0.5,0,0,0,0,0,0,-0.3,0,8.4
"bathe",1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,-2,0,0,0,0,0,1,-0.1,-1,0,0,-0.1,1,0,0,0,0,0,0.2,0,0,0,5,0,0,5,6,-1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0.6,0,1,0,-1,1,1,1,0,0,-1,-0.5,0,0,0,0,0,0,0,0,22.9
"eat",1,0,0,0,0,0,0,0,0,0,0,1,0,-0.1,0.4,1,1,0,0,0,0,0,1,-0.8,-1,0,0,-0.1,0.1,0,1,0,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0,0.7,0,0,1,1,1,1,1,1,1,7,0,1,0,0.3,1,0,1,1,9,0.2,2,0,0,0,0,0,1,1,0,38.3
"drink",1,0,0,0,0,0,0,0,0,0,0,1,0,-0.1,0.5,0,1,0,0,0,0,0,1,-0.8,0,0,0,-0.1,0.1,0,0,0,1,0,0.5,0,0,0,0.5,0,0,1,0,-1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,1,1,1,1,5,0,1,0,0,0.3,0,1,1,3,0.3,2,0,0,0,0,0,0.9,0.1,0,35.2
"chop",1,0,0,0,0,0,0,0,0,0,0,-0.5,-7,0,0,0,-0.5,0.1,0,0,0,0,1,0,0,0.2,0.1,0.1,0,2,1,1,0.8,0.5,-0.5,0,0,0,0,1.6,0,0,0,0,0.8,0,1,0,0,0,0,0,0,0,0.4,-1,0.3,2,0.3,0.3,0.3,0.3,0.3,0,-0.3,1,0.6,0.2,1,0,0,0,0.3,0,-0.5,0,0.9,0,0,0,0,0.6,0,9.1
"process",1,0,0,0,0,0,0,0,0,0,0,0.9,-1,0,0,1,1,0.4,0,0,0,0,1,0.4,0,0,0,0,0,0.7,0.5,0,0,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0.3,0,1,1,0,0,0,1,0,11.4
"swallow",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.4,-0.5,0,0,-0.1,0,0,0,-0.1,0,0.1,0.5,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,7,0,0,0,0,0.3,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,5,0.1,0.5,0,0,0,0,0,0,0,0,25.3
"spit",1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,0,1,-0.4,0.1,0,0,0.2,0,0.9,0,0.1,0,0.1,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,-0.2,0,0,8.3
"sleep",1,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.1,0.3,0.5,0,0,0,0,0,0,1,-0.1,-2,0,0,-0.5,1,0,-8,-5,0,0.1,0.1,0,0,0,0,-4,0,3,0,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,5,0,0,0,1,1,1,0,0.5,0.5,0,0,0,0,0,0.4,0,0,4.1
"procreate",1,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0,0.6,1,0.5,0,2,0,0,1,0.3,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,10,6,1,0,0.5,0,0,1,0,0,0.1,1,1,0,0,0,0,3,0,0,43.9
"laugh",1,0,0,0,0,0,0,0,0,0,0,0.7,0,-0.2,-0.5,1,0,0,0,0,1,0,1,-5,0,0,-0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0.6,0,0,0,1,1,0,-1,0,0,0,0,0,0,1,0,0,15.2
"breathe",1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,6,0,0.2,0,0,0,0,1,-0.1,0,0,-0.5,0,0,0,1,-0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0.5,0,1,0,0,0,0,1,1,0,0,1,-1,0,0,0,0,0.9,0,0,22.7
"choke",1,0,0,0,0,0,0,0,0,0,0,-0.5,0,0.1,0,-0.1,0,0,0,0,0,0,1,-0.7,0,0,-0.5,0,0,0,-1,0.6,0,0.4,0.3,0,0,0,0,0,0,-1,0,0,0.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,-3,-0.9,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-2,0,0,2.8
"cough",1,0,0,0,0,0,0,0,0,0,0,-0.5,0,0.1,0,0,0,0,0,0,0,0,1,-1,0,0,-0.5,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,-0.1,0,0,0,1,0.1,1,0,0,0,0,0,0,-0.9,0,0,0.2
"wear",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15
"dance",1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0,0.4,0,0,0,0,1,0.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,-1,-1,1,2,2,1,0,-0.8,0,0,0,0,0,0,1,0,0,14.4
"sing",1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-1,-2,0,0,0,1,0,-0.5,0,0,0,0,0,0,1,0,0,7.3
"hangout",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,1,0,0,0,0.2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0.4,0,0,0.6,0,0,0,0,0,0.2,0,0,0,0,0,0,0.8,0,0,7.4
"feel",1,0,0,0,0,0,0,0,0.5,0,0,0.9,0,0,0,0,0,0.1,0,1,0,0,1,-1,0,0,-0.5,0,0.1,0,0.1,0,1,0,0.3,0,0,0,0,0.7,0,0,0,0,0,0,0,0,8,0.1,2,1,0.1,0,1,0,0,1,1,1,1,1,1,0.8,0.5,1,0,-0.5,4,2,0,0,0,0,1,-0.5,0.6,0,0,0,0.8,0,0,32.3
"smell",1,0,0,0,0,0,0,0,0.5,0,0,0.6,0,0.3,0,0,0,0,0,0.5,0,0,1,-0.1,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,1,0,0.4,1,-0.5,0.6,0,0,0,0.1,0,0,20.7
"hear",1,0,0,0,0,0,0,0,0.5,0,0,0.9,0,0.1,0,0,0,0,0,0.5,0,0,1,-0.1,0,0,0,0,0,0,1,6,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.7,1,0,1,0,0,0,0,1,1,0,0,0,1,0.9,0,1,0,-0.5,0,0,0,1,0,0,1,-0.5,0.6,0,0,0,0.5,0,0,27.9
"see",1,0,0,0,0,0,0,0,0.5,0,0,0.9,0,0,0,0,0,0,0,0.5,0,0,1,-0.1,0,0,0,0,0,0,0,-0.1,0.1,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,0,1,0,0,1,2,0.5,0.5,0.5,1,0.9,0,1,0,0,0,0,0,1,0,0,1,-0.5,0.6,0,0,0,0.9,0,0,28.7
"taste",1,0,0,0,0,0,0,0,0.5,0,0,0.7,0,0.3,0,0,0,0,0,0.5,0,0,1,-0.1,0,0,0,0,0,0,0,0.1,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7,1,0,0,0,0,0,0,1,0,0,0,0.2,1,0.9,0.1,1,0,0,0.9,0,0,1,5,0.4,1,-0.5,0.6,0,0,0,0.9,0,0,22
"burn",1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.5,0,0.2,-2,0,0,0,0,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.8,0,0,0,0,0,-0.1,0,0,-0.1,0,0,0,0,0,1,-1,0,0,0.1,0,0,0,-1,0,0,6.8
